cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
10,11,0,15,66,0,330,40,520,0,0,0,
20,11,0,20,213,-100,-100,130,-490,0,0,0,
30,11,0,36,482,-100,-990,60,-350,-10,0,0,
40,11,0,45,897,-100,-890,40,-290,-20,0,0,
50,11,0,59,1412,-300,-710,-100,-110,-20,0,0,
60,11,0,64,2038,-400,-820,-70,320,-30,0,0,
70,11,0,58,2629,-6600,-30,-10,590,-40,0,0,
80,11,0,49,3178,-6600,620,200,440,-40,0,0,
90,11,0,78,3738,200,1420,-230,880,-20,0,10,
100,11,0,78,4621,100,2420,310,350,0,0,10,
110,11,0,83,5375,0,-1680,-20,-250,0,0,10,
120,11,0,81,6171,-100,-1000,-420,-830,-10,0,0,
130,11,0,92,7041,-200,-380,-160,-120,-20,0,0,
140,11,0,94,7976,-200,-310,-50,520,-20,0,0,
150,11,0,97,8896,-100,280,200,920,-20,0,10,
160,11,0,98,9853,-100,1070,390,260,-10,0,20,
170,11,0,95,10825,0,1530,150,-230,0,0,20,
180,11,0,97,11816,0,1050,90,-400,10,0,10,
190,11,0,112,12937,0,-1020,170,-350,0,0,10,
200,11,0,106,13979,0,600,-220,-300,0,0,10,
210,11,0,108,15170,0,1710,0,-250,10,0,0,
220,11,0,103,16622,-100,140,160,-440,10,0,0,
230,11,0,107,17704,-100,-980,270,160,0,0,0,
240,11,0,112,18788,-100,-890,-150,870,0,0,10,
250,11,0,109,19878,-100,190,-90,680,0,0,10,
260,11,0,118,20979,0,-290,30,840,0,0,20,
270,11,0,113,22094,100,-490,0,250,0,0,30,
280,11,0,113,23222,0,-520,40,290,0,0,30,
290,11,0,110,24357,100,-250,-340,-120,0,0,30,
300,11,0,112,25496,100,400,-200,0,0,0,30,
310,11,0,122,26648,0,-270,-170,-190,0,0,30,
320,11,0,119,27821,0,-600,50,-780,-10,0,20,
330,11,0,136,29202,100,1450,20,-420,0,0,20,
340,11,0,114,30366,100,2280,-50,-460,0,0,10,
350,11,0,111,31530,0,-390,350,-440,0,0,10,
360,11,0,114,32788,-100,-530,310,-110,-10,0,10,
370,11,0,100,34103,-100,1280,-80,80,0,0,10,
380,11,0,128,35247,0,-460,-150,-190,0,0,10,
390,11,0,119,36479,300,60,-190,-410,0,0,0,
400,11,0,103,37780,900,330,-170,-2120,0,0,-10,
410,11,0,108,38829,1100,220,0,-4070,10,0,-50,
420,11,0,119,40030,1300,330,130,-6480,10,0,-110,
430,11,0,101,41028,1500,600,-170,-9220,10,0,-210,
440,11,0,108,42151,900,-230,-440,-11630,0,0,-330,
450,11,0,106,43113,500,350,-160,-12900,0,0,-470,
460,11,0,104,44183,-100,-400,510,-11880,0,0,-600,
470,11,0,84,45102,-500,-60,-590,-10930,0,0,-730,
480,11,0,89,46063,-900,2150,190,-9080,10,0,-840,
490,11,0,56,47102,-1200,-1320,-630,-6980,0,0,-910,
500,11,0,79,48004,-1000,-420,-20,-3670,0,0,-960,
510,11,0,71,49017,-100,260,-30,-870,0,0,-980,
520,11,0,102,49930,0,50,-270,-510,10,0,-990,
530,11,0,95,50763,100,850,0,-910,10,0,-1000,
540,11,0,94,51636,100,-310,90,-1710,0,0,-1010,
550,11,0,90,52729,-100,40,520,-1600,0,0,-1030,
560,11,0,83,53680,-300,330,-160,-630,10,0,-1050,
570,11,0,89,54630,-300,650,-180,570,10,0,-1040,
580,11,0,101,55559,-300,-760,-150,1550,10,0,-1030,
590,11,0,96,56544,-100,-790,-200,2400,0,0,-1000,
600,11,0,98,57531,0,220,100,2010,0,0,-980,
610,11,0,100,58537,100,400,170,1140,0,0,-960,
620,11,0,107,59579,500,260,-50,710,0,0,-950,
630,11,0,112,60712,600,-370,30,-720,0,0,-950,
640,11,0,113,61900,700,500,40,-2430,0,0,-980,
650,11,0,107,63407,1200,470,-140,-3390,0,0,-1010,
660,11,0,120,64550,1600,690,-210,-5650,10,0,-1070,
670,11,0,96,65552,1700,-120,-190,-8290,10,0,-1150,
680,11,0,89,66526,1600,-130,-420,-10490,10,-10,-1260,
690,11,0,92,67506,1100,-280,-440,-13060,10,-10,-1400,
700,11,0,97,68581,-100,-440,-410,-12720,10,-10,-1540,
710,11,0,90,69471,-500,-190,-320,-12350,10,-10,-1690,
720,11,0,100,70336,-900,-930,-150,-10510,0,-10,-1810,
730,11,0,84,71143,-1600,-170,200,-8780,10,-10,-1910,
740,11,0,94,71948,-900,60,10,-5080,10,-10,-1980,
750,11,0,65,73200,-400,-430,200,-3530,10,-10,-2020,
760,11,0,71,74144,200,-580,70,-2450,10,-10,-2050,
770,11,0,72,74942,700,640,-40,-3090,10,-10,-2080,
780,11,0,60,75708,1100,1150,100,-3830,20,-10,-2120,
790,11,0,67,76560,1100,-440,-170,-5990,20,-20,-2190,
800,11,0,109,77416,500,70,-310,-6710,20,-20,-2260,
810,11,0,82,78339,300,910,700,-6510,20,-20,-2340,
820,11,0,94,79158,-100,430,200,-6190,20,-10,-2410,
830,11,0,81,79991,100,-160,-130,-4970,20,-10,-2470,
840,11,0,96,80859,100,280,-310,-4750,30,-20,-2530,
850,11,0,102,81987,-100,70,-70,-4110,30,-20,-2580,
860,11,0,89,82925,-100,410,-170,-3540,30,-20,-2620,
870,11,0,105,83880,-400,250,-210,-2740,30,-20,-2650,
880,11,0,105,84843,-900,-230,160,-880,30,-20,-2670,
890,11,0,102,85823,-900,-230,-250,980,30,-20,-2660,
900,11,0,102,86865,-800,380,-40,2490,30,-20,-2640,
910,11,0,102,87910,-800,340,100,3690,30,-20,-2600,
920,11,0,103,88955,-900,220,-110,4970,30,-20,-2550,
930,11,0,104,90002,-900,570,-240,6330,40,-20,-2480,
940,11,0,109,91034,-900,580,-260,8280,40,-20,-2390,
950,11,0,99,93279,-500,480,-200,11240,40,-30,-2270,
960,11,2,85,94383,-100,1220,-130,11210,50,-30,-2140,
970,11,0,99,95479,0,750,350,9800,50,-20,-2030,
980,11,0,104,96488,400,-300,0,9180,50,-20,-1920,
990,11,0,97,97421,-100,140,-120,7860,50,-20,-1830,
1000,11,0,84,98349,-300,-10,30,7310,40,-20,-1750,
1010,11,0,96,99222,-500,70,-90,7960,50,-20,-1660,
1020,11,0,83,100095,-500,-100,-60,8750,40,-20,-1570,
1030,11,0,88,101018,-200,-420,-20,8920,40,-20,-1470,
1040,11,0,91,102342,0,560,-130,8820,50,-20,-1370,
1050,11,0,70,103376,500,-660,290,6450,50,-20,-1290,
1060,11,0,58,104409,900,-40,170,5370,50,-20,-1230,
1070,11,0,89,105350,1100,400,-20,2440,50,-30,-1190,
1080,11,0,93,106329,600,600,-50,-160,50,-30,-1190,
1090,11,0,87,107228,100,-290,310,-1000,50,-20,-1200,
1100,11,2,88,108064,0,-1210,-190,-1660,40,-20,-1220,
1110,11,0,96,108955,100,-830,-110,-2070,30,-20,-1240,
1120,11,0,107,109877,300,530,-310,-2160,30,-30,-1260,
1130,11,0,123,111070,600,1320,510,-2510,40,-20,-1290,
