cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
5,11,0,-6,-5,-100,0,20,-10,0,0,0,
15,11,0,15,114,-100,-460,130,50,0,0,0,
25,11,0,26,333,-100,-1080,-80,30,0,0,0,
35,11,0,41,699,-100,-640,10,70,-10,0,0,
45,11,0,54,1167,-200,-750,-30,100,-20,0,0,
55,11,0,65,1780,-300,-1320,70,210,-40,0,0,
65,11,0,61,2371,-6600,-500,-130,170,-40,0,0,
75,11,0,50,2919,-6600,230,10,-230,-40,0,0,
85,11,0,51,3455,-6600,2030,70,-330,-20,0,0,
95,11,0,70,4123,-100,1890,-310,-170,0,0,0,
105,11,0,86,5110,0,620,-50,150,10,0,0,
115,11,0,93,6035,0,-720,200,120,0,0,0,
125,11,0,87,6870,-100,-300,-170,-40,0,0,0,
135,11,0,87,7747,-100,0,230,-120,0,0,0,
145,11,0,92,8656,0,480,60,-230,0,0,0,
155,11,0,95,9574,0,130,-80,-10,10,0,0,
165,11,0,104,10548,100,110,-160,-170,10,0,0,
175,11,0,105,11550,-100,-240,-210,-450,10,0,-10,
185,11,0,105,12559,-100,50,490,0,10,0,-10,
195,11,0,99,13607,-100,130,-230,230,10,0,0,
205,11,0,111,14665,-100,140,150,380,20,0,0,
215,11,0,107,15893,-100,980,60,160,20,0,0,
225,11,0,110,16966,-100,70,-60,260,20,0,0,
235,11,0,106,18045,-100,110,160,230,10,0,0,
245,11,0,107,19214,0,680,-190,490,10,0,0,
255,11,0,102,20391,100,780,270,0,30,0,0,
265,11,0,109,21603,0,-420,-240,100,20,0,0,
275,11,0,105,22777,0,340,230,-220,20,0,0,
285,11,0,116,24014,-100,590,80,-340,30,0,0,
295,11,0,111,25096,-100,-730,30,-170,30,0,0,
305,11,1,109,26365,0,-750,-150,-180,20,10,0,
315,11,0,108,27461,100,-90,-80,-170,20,10,0,
325,11,0,114,28559,100,1070,-60,-140,30,0,0,
335,11,0,118,30005,0,-500,20,-160,20,0,0,
345,11,0,117,31146,-100,-180,110,-180,20,10,0,
355,11,0,119,32289,-100,270,-80,10,20,0,0,
365,11,0,114,33448,100,790,230,10,30,10,0,
375,11,0,126,34781,0,980,-180,-30,30,0,0,
385,11,0,116,36092,500,180,250,-580,30,10,-10,
395,11,0,115,37219,1100,-550,0,-1800,30,10,-20,
405,11,0,105,38246,1200,390,-260,-4020,30,10,-60,
