cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
6,11,0,-3,19,0,40,-110,-20,0,0,0,
16,11,0,12,128,0,-620,-300,130,0,0,0,
26,11,0,25,327,0,-730,80,-570,-10,0,0,
36,11,0,30,593,-100,-240,80,-290,-10,0,0,
46,11,0,37,907,-100,250,-10,-180,-10,0,0,
56,11,0,37,1262,-100,720,40,80,0,0,0,
66,11,0,37,1648,-100,1380,70,240,0,0,0,
76,11,0,37,2138,0,680,10,350,10,0,0,
86,11,0,55,2673,0,-630,0,20,0,0,0,
96,11,0,44,3185,0,460,10,-40,10,0,0,
106,11,0,55,6924,0,40,-210,-40,10,0,0,
116,11,0,53,7474,0,-110,-40,-180,10,0,0,
126,11,0,65,8048,-100,130,-210,150,10,0,0,
136,11,0,57,8629,0,-260,280,10,10,0,0,
146,11,0,63,9230,-100,-150,60,-50,0,0,0,
156,11,0,57,9843,0,-420,90,-10,0,0,0,
166,11,0,58,10530,0,890,-100,50,10,0,0,
176,11,0,60,11199,0,-10,-150,80,10,0,0,
186,11,0,67,11840,0,-40,110,-100,10,0,0,
196,11,0,57,12464,0,500,-310,100,20,0,0,
206,11,0,56,13055,0,390,0,-30,30,0,0,
216,11,0,52,13618,0,350,-80,-280,30,0,0,
226,11,0,53,14211,100,830,-130,-40,30,0,0,
236,11,0,57,18100,-200,-150,-10,-90,30,0,0,
246,11,0,59,18723,0,170,30,1090,40,0,0,
256,11,0,54,19283,0,280,80,1090,40,0,10,
266,11,0,52,19803,200,-170,40,530,40,0,20,
276,11,0,51,20338,100,-190,180,-670,40,0,20,
286,11,0,45,20876,100,-290,-240,-1290,40,-10,10,
296,11,0,51,21440,0,-370,130,-920,40,-10,0,
306,11,0,61,22011,-100,-450,120,-980,30,-10,0,
316,11,0,58,22589,-100,-40,160,-150,30,0,-10,
326,11,0,55,23170,-100,390,80,590,40,0,0,
336,11,0,57,23772,-100,80,150,640,30,0,0,
346,11,0,58,27786,100,960,0,-330,40,0,0,
356,11,0,64,28413,100,-570,200,-930,40,0,-10,
366,11,0,67,29086,0,-330,170,-990,40,0,-20,
376,11,0,54,29678,-100,80,-130,-740,40,0,-30,
386,11,0,57,30233,-100,410,60,-410,40,0,-30,
396,11,0,59,30788,-100,260,-190,380,40,0,-30,
406,11,0,50,31360,-100,-650,200,550,40,0,-20,
416,11,0,60,31944,-100,-350,-40,680,40,0,-20,
426,11,0,54,32538,0,100,120,590,40,0,-10,
436,11,0,57,33147,100,0,-20,340,40,0,-10,
446,11,0,60,33769,100,-220,-70,60,40,0,0,
456,11,0,35,31993,500,-1220,-20,-380,30,0,-10,
466,11,0,2,32153,100,-440,10,-1850,20,0,-20,
476,11,0,17,32244,-100,-1350,50,-1750,10,0,-40,
486,11,0,18,32438,-200,-460,-140,-660,0,0,-50,
496,11,0,25,32651,-200,-210,-30,590,0,0,-50,
506,11,0,37,32937,200,-660,-160,910,0,0,-40,
516,11,0,33,33279,300,210,160,-370,0,0,-40,
526,11,0,41,33669,100,1170,60,-1500,0,0,-50,
536,11,0,42,34071,100,1340,50,-2080,20,0,-70,
546,11,0,38,34510,100,1180,60,-2020,30,0,-90,
556,11,2,63,35005,-100,-560,-210,-1650,30,0,-110,
566,11,0,50,38001,1200,-300,-80,-4360,30,0,-140,
576,11,0,39,38430,500,-160,200,-5630,20,0,-210,
586,11,0,41,38891,500,-50,-70,-5900,20,0,-270,
596,11,0,49,39380,400,290,-110,-4560,30,0,-330,
606,11,0,55,39883,-400,160,-100,-4370,30,0,-380,
616,11,0,52,40407,200,100,30,-3860,30,0,-420,
626,11,0,51,40957,100,50,-100,-3560,30,0,-460,
636,11,0,59,41544,100,150,-10,-3100,30,-10,-500,
646,11,0,58,42160,100,680,-200,-2860,40,-10,-530,
656,11,0,57,42747,-100,520,-140,-2530,40,-10,-560,
666,11,0,43,43299,-100,-700,80,-1720,40,-10,-580,
676,11,0,48,44010,-100,-300,-20,-1440,40,-10,-600,
686,11,0,51,44528,0,320,-140,-1050,40,-10,-620,
696,11,0,52,45063,0,90,80,-1310,40,-10,-630,
706,11,0,59,45619,0,100,150,-1480,40,-10,-650,
716,11,0,50,46170,0,100,80,-1630,40,-10,-660,
726,11,0,60,46741,0,350,-140,-1610,40,-10,-680,
736,11,0,65,47331,-100,-810,-160,-1870,40,-10,-700,
746,11,0,55,47915,-100,-500,250,-1220,40,-10,-720,
756,11,0,62,48517,-100,280,210,-450,30,-10,-730,
766,11,0,55,49126,-100,250,-280,-120,40,-10,-730,
776,11,0,68,49929,100,150,-60,-610,40,-10,-730,
786,11,0,58,50551,100,170,270,-780,40,-10,-740,
796,11,0,64,51214,200,230,-60,-1030,40,-10,-750,
