cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
5,11,0,1,2,0,10,-30,-30,0,0,0,
15,11,0,12,120,0,-160,50,150,0,0,0,
25,11,0,24,308,0,-800,70,-430,0,0,0,
35,11,0,30,565,-100,110,120,-380,0,0,0,
45,11,0,38,872,-100,670,30,-200,0,0,0,
55,11,0,31,1212,-100,920,0,70,0,0,0,
65,11,0,45,1602,100,580,0,120,0,0,0,
75,11,0,46,2036,-100,240,-250,310,10,0,0,
85,11,0,38,2501,0,-680,-60,320,0,0,0,
95,11,0,54,2992,100,-470,-220,150,0,0,0,
105,11,0,45,3566,0,730,-10,280,0,0,0,
115,11,0,55,4074,0,1040,-420,270,10,0,0,
125,11,0,57,4630,0,-270,230,350,0,0,10,
135,11,0,60,5181,0,90,-220,160,0,0,10,
145,11,0,60,5786,0,1140,250,-270,10,0,10,
155,11,0,48,6362,0,270,-330,-90,20,0,10,
165,11,0,51,6978,0,-580,190,-210,10,0,0,
175,11,0,50,7572,0,-70,-460,-70,10,0,0,
185,11,0,58,8113,0,-400,90,-70,10,0,0,
195,11,0,61,8654,0,-80,-230,40,10,0,0,
205,11,0,59,9244,-100,560,-110,80,20,-10,0,
215,11,0,61,9803,100,810,-20,110,20,-10,0,
225,11,0,58,10375,100,360,130,0,20,-10,0,
235,11,0,59,11131,0,350,-170,140,20,-10,10,
245,11,0,68,11738,-100,-30,-40,-30,20,-10,10,
255,11,0,60,12378,0,490,-230,50,30,-10,10,
265,11,0,58,13028,0,820,40,30,30,-10,10,
275,11,0,62,13679,0,320,120,-110,30,-10,10,
285,11,0,55,14251,100,-200,80,0,30,-10,10,
295,11,0,53,14851,-100,830,-340,50,30,-10,10,
305,11,0,51,15422,-100,-100,-50,-160,30,-10,0,
315,11,0,56,16012,-100,-510,110,30,30,-10,0,
325,11,0,60,16615,-100,-510,60,200,30,-10,10,
335,11,0,56,17219,-100,-120,-170,510,30,-10,10,
345,11,0,64,18020,100,-210,-90,140,30,-10,10,
355,11,0,66,18639,0,130,160,190,30,-10,20,
365,11,0,65,19272,0,110,230,140,30,-10,20,
375,11,0,64,19917,100,-70,20,230,30,-10,20,
385,11,0,62,20578,100,-100,90,130,30,-10,20,
395,11,0,65,21279,0,550,80,-280,30,-10,20,
405,11,0,71,21953,0,290,-180,0,40,-10,20,
415,11,0,58,22669,0,-40,70,-200,40,-10,20,
425,11,0,62,23344,0,520,400,-280,40,-10,20,
435,11,0,61,24036,0,270,100,-240,50,-10,10,
445,11,0,55,24683,0,-340,-210,-230,50,-10,10,
455,11,0,59,25428,0,170,-160,-190,50,-10,10,
465,11,0,65,26023,-100,130,150,-310,50,-10,0,
475,11,1,64,26625,-100,60,100,-90,50,-10,0,
485,11,0,68,27238,-100,0,-210,80,40,-10,0,
495,11,0,62,27854,-100,80,0,190,40,-10,10,
505,11,0,66,28496,-100,700,90,240,50,-10,10,
515,11,0,70,29147,100,330,-190,260,50,-10,10,
525,11,0,66,29830,0,-820,30,20,50,-10,10,
535,11,0,63,30554,-100,-20,-80,50,50,-10,10,
545,11,0,59,31233,-100,650,-190,120,60,-10,10,
555,11,0,66,31828,100,110,30,70,60,-10,10,
565,11,0,61,32418,-100,-430,-60,140,60,-20,10,
575,11,0,67,33183,-100,50,20,250,60,-10,20,
585,11,0,59,33777,0,20,210,350,60,-10,20,
595,11,0,64,34386,100,170,30,120,60,-10,20,
