cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
2,11,0,8,8,-6600,-10,30,-30,0,0,0,
12,11,0,10,87,-100,-780,-80,-740,0,0,0,
22,11,0,24,272,-100,-600,-30,130,0,0,0,
32,11,0,30,556,-100,-20,-30,730,-10,0,0,
42,11,0,35,893,0,730,-70,410,0,0,0,
52,11,0,34,1211,100,330,0,-10,0,0,0,
62,11,0,42,1587,100,-410,-20,-360,0,0,0,
72,11,0,43,1985,-100,-210,70,-200,0,0,0,
82,11,0,42,2415,0,140,190,-120,0,0,0,
92,11,0,42,2880,100,-10,30,-80,0,0,0,
102,11,0,48,3525,0,-190,70,-20,0,0,0,
112,11,0,56,4053,-100,30,0,-50,0,0,0,
122,11,0,55,4592,0,890,150,-190,0,0,0,
132,11,0,61,5152,-100,470,60,10,10,0,0,
142,11,0,63,5782,0,420,-40,-170,10,0,0,
152,11,0,57,6405,-100,-10,-150,-220,10,0,0,
162,11,0,57,7022,-100,760,30,70,20,0,0,
172,11,0,49,7548,-100,-440,170,170,10,0,0,
182,11,0,54,8086,-100,-100,60,240,10,0,0,
192,11,0,54,8643,0,240,-50,250,10,0,0,
202,11,0,58,9213,0,460,-210,180,10,0,0,
212,11,0,64,9795,100,380,-60,-10,10,0,0,
222,11,0,65,10379,0,420,-40,0,20,0,0,
232,11,0,60,11133,100,190,0,-70,20,0,0,
242,11,0,59,11735,0,80,-130,-170,20,0,0,
252,11,0,62,12344,0,210,210,-180,20,0,0,
262,11,0,59,12968,0,60,-170,-80,20,0,0,
272,11,0,62,13633,100,730,-170,-170,20,0,0,
282,11,0,62,14260,0,80,-20,-190,20,0,0,
292,11,0,68,14894,-100,850,160,-260,20,0,0,
302,11,0,72,15575,-100,30,120,-160,20,0,0,
312,11,0,59,16241,-100,320,250,0,30,0,0,
322,11,0,66,16863,-100,-90,130,270,30,0,0,
332,11,0,58,17560,-100,320,-290,550,30,0,0,
342,11,0,62,18216,0,1320,-190,380,40,0,0,
352,11,0,56,18958,0,-100,0,160,40,0,0,
362,11,0,63,19584,0,-100,20,120,30,0,0,
372,11,0,61,20155,100,60,-100,110,40,0,0,
382,11,0,56,20745,0,60,160,160,40,0,10,
392,11,0,68,21348,0,100,110,0,40,0,0,
402,11,0,57,21957,0,10,-130,-160,40,0,0,
412,11,0,57,22584,0,390,30,-100,40,0,0,
422,11,0,68,23228,0,140,-30,-250,50,0,0,
432,11,0,67,23904,0,-230,60,-240,50,0,0,
442,11,0,65,24617,0,350,-90,-210,50,0,0,
452,11,0,59,25300,0,260,10,-270,60,0,0,
462,11,0,59,25959,-100,-180,-60,-150,60,0,0,
472,11,0,58,26691,-100,-30,50,-160,50,0,0,
482,11,0,60,27262,-100,-800,-60,350,50,0,0,
492,11,0,57,27836,-100,840,-10,530,60,0,0,
