cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
3,11,0,2,2,0,80,10,40,0,0,0,
13,11,0,6,95,0,-420,210,310,0,0,0,
23,11,0,22,266,100,-760,50,50,0,0,0,
33,11,0,29,523,-100,0,160,-540,0,0,0,
43,11,0,37,826,-100,500,-10,-290,0,0,0,
53,11,0,39,1172,-100,690,110,80,0,0,0,
63,11,0,42,1553,-100,600,30,30,0,0,0,
73,11,0,48,1974,-100,150,-100,30,10,0,0,
83,11,0,43,2438,-100,-100,-150,70,10,0,0,
93,11,0,51,2915,-100,40,120,350,0,0,0,
103,11,0,20,5120,1100,800,20,1190,10,0,10,
113,11,0,21,5378,1100,-30,20,-910,10,0,0,
123,11,0,32,5646,400,-230,70,-3040,10,0,-20,
133,11,0,47,6019,-100,200,-160,-3500,0,0,-60,
143,11,0,42,6444,-900,430,110,-1350,10,0,-80,
153,11,0,39,6815,-700,340,-160,1270,10,0,-70,
163,11,0,60,7264,-100,-170,10,2180,20,0,-50,
173,11,0,44,7753,0,-300,30,1390,10,0,-30,
183,11,0,55,8224,100,330,-40,810,20,0,-20,
193,11,0,48,8793,0,540,-250,-420,20,0,-20,
203,11,0,52,9328,0,1010,-140,-1070,30,0,-30,
213,11,0,37,9848,0,-20,-20,-840,30,0,-40,
223,11,0,63,13930,-100,370,80,250,30,0,-40,
233,11,0,66,14578,0,50,80,1650,30,0,-20,
243,11,0,74,15227,0,-140,20,1050,40,0,-10,
253,11,0,61,15845,100,-60,-20,540,40,0,0,
263,11,0,56,16473,0,-150,0,-530,40,0,0,
273,11,0,67,17151,0,250,-130,-730,40,0,-10,
283,11,0,65,17829,100,570,200,-640,40,0,-20,
293,11,0,66,18454,-100,-110,190,-760,50,0,-30,
303,11,0,60,19137,-100,1200,190,-20,50,0,-30,
313,11,0,58,19801,-100,40,-20,270,50,0,-30,
323,11,0,58,20445,-100,260,30,240,50,0,-30,
333,11,0,59,24353,0,40,70,-20,50,0,-30,
343,11,0,52,24972,0,-230,180,-250,50,0,-30,
353,11,0,39,25535,0,600,-80,-500,60,0,-30,
363,11,1,54,26088,0,-310,380,-340,50,0,-40,
373,11,0,55,26632,-100,-10,-170,-300,50,0,-40,
383,11,0,56,27198,-100,0,-40,-210,50,0,-50,
393,11,0,53,27756,-100,410,-20,210,50,0,-40,
