cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
2,11,0,-3,-3,100,30,10,-40,0,0,0,
12,11,0,11,89,0,-330,260,700,0,0,0,
22,11,0,16,222,0,-230,-110,70,0,0,0,
32,11,0,29,457,-100,-210,80,-670,0,0,0,
42,11,0,33,779,-100,-80,0,-90,0,0,0,
52,11,0,34,1100,-100,760,50,40,0,0,0,
62,11,0,32,1485,0,210,-220,10,0,0,0,
72,11,0,30,1943,-100,-260,180,-170,0,0,0,
82,11,0,38,2406,-100,-430,140,70,0,0,0,
92,11,0,51,2861,-100,-70,0,350,0,0,0,
102,11,0,51,3838,0,420,-220,170,0,0,0,
112,11,0,48,4332,-100,10,190,50,0,0,0,
122,11,0,50,4841,-100,350,-60,70,0,0,0,
132,11,0,59,5373,0,600,70,100,0,0,0,
142,11,0,48,5921,0,290,0,0,10,0,0,
152,11,0,47,6537,0,240,-10,100,10,0,0,
162,11,0,48,7158,0,640,-130,80,10,0,0,
172,11,0,51,7733,0,190,-20,130,10,0,0,
182,11,0,50,8254,0,-190,-310,-60,10,0,0,
192,11,0,55,8799,0,-30,-120,10,10,0,0,
202,11,0,46,9348,0,0,0,-30,10,0,0,
212,11,0,61,9931,0,-70,340,-20,10,0,0,
222,11,0,55,10516,-100,-540,90,-10,10,0,0,
232,11,0,55,11334,-100,260,120,-40,10,0,0,
242,11,0,62,11934,-100,-230,-430,60,10,0,0,
252,11,0,59,12541,-100,-290,260,210,10,0,0,
262,11,0,68,13162,-100,-240,-90,50,0,0,0,
272,11,0,65,13795,-100,340,-310,20,0,0,0,
282,11,0,63,14445,-100,-110,100,-40,0,0,0,
292,11,0,66,15096,-100,-240,-160,150,0,0,10,
302,11,0,62,15826,-100,600,-70,300,10,0,10,
312,11,0,68,16507,0,-110,-80,110,10,0,10,
322,11,0,68,17194,0,370,0,70,10,0,10,
332,11,0,57,17820,100,250,-160,20,20,0,20,
342,11,0,65,18442,0,50,-140,40,10,-10,20,
352,11,0,61,19240,100,420,120,-40,10,0,20,
362,11,0,57,19817,100,180,10,80,10,-10,20,
372,11,0,62,20409,0,-310,40,-30,10,0,20,
382,11,0,62,21020,-100,-60,110,50,10,0,10,
392,11,0,56,21664,-100,990,130,-60,20,0,10,
402,11,0,60,22329,-100,720,-290,-450,20,0,10,
412,11,0,66,23006,-100,30,-30,-200,20,0,10,
422,11,0,57,23635,-100,260,-290,280,20,-10,10,
432,11,0,51,24185,-100,-430,-20,410,20,-10,20,
442,11,1,54,24739,-100,110,0,380,20,-10,20,
452,11,0,62,25311,0,80,-290,350,20,-10,20,
462,11,0,57,26020,100,500,-160,470,20,-10,30,
472,11,0,59,26596,0,20,120,-150,20,-10,30,
482,11,0,57,27179,0,-1070,-40,-100,20,-10,30,
492,11,0,58,27787,100,-1090,-30,-380,10,-10,20,
502,11,0,57,28400,0,-440,360,-270,10,-10,20,
512,11,0,67,29023,0,580,-400,-230,10,-10,20,
522,11,0,64,29649,0,620,-90,-130,20,-10,20,
532,11,0,74,30286,-100,130,-160,-250,20,-10,10,
542,11,0,58,30930,-100,-50,-60,-120,20,-10,10,
552,11,0,64,31661,-100,240,-30,0,20,-10,10,
562,11,0,56,32327,100,330,60,-10,20,-10,10,
572,11,0,60,33171,100,-120,100,-10,20,-10,10,
582,11,0,61,33772,100,270,60,-90,20,-10,10,
592,11,0,62,34370,100,360,20,-440,20,-10,10,
602,11,0,57,34932,400,0,260,-1050,30,0,0,
612,11,0,65,35537,400,90,200,-2920,30,0,-20,
622,11,0,53,36138,0,0,50,-3640,20,0,-60,
632,11,0,67,36754,100,-340,-270,-3240,20,0,-100,
642,11,0,59,37365,100,30,30,-2590,20,0,-130,
652,11,0,62,37988,500,1060,110,-3220,30,0,-160,
662,11,0,62,38642,500,310,-160,-4000,30,0,-210,
672,11,0,68,39329,1100,-680,-180,-5360,20,0,-260,
682,11,0,45,40058,500,-360,-170,-6330,20,0,-330,
692,11,0,50,40626,400,730,80,-6140,30,0,-400,
702,11,0,55,41144,-400,10,-200,-5720,20,0,-470,
712,11,0,53,41690,-400,300,70,-4970,20,-10,-530,
722,11,0,53,42234,-400,50,130,-3290,20,0,-570,
732,11,0,55,42785,-100,-160,-60,-2440,20,0,-600,
742,11,0,58,43339,0,150,80,-2440,20,-10,-620,
752,11,0,59,43919,100,-40,-40,-2970,20,0,-650,
762,11,0,62,44512,100,-240,140,-3100,20,0,-690,
772,11,0,58,45115,-100,710,0,-2540,30,-10,-720,
782,11,0,63,45726,-100,120,-350,-2220,30,-10,-740,
792,11,0,71,46522,100,110,20,-1760,30,-10,-760,
802,11,0,65,47150,100,330,-30,-1470,30,-10,-780,
